result,table,_start,_stop,_time,_value,_field,_measurement,host,interface
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:48:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:49:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:50:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:51:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:10+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:15+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:20+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:25+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:30+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:35+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:40+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:45+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:50+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:52:55+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:53:00+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:53:05+00:00,0,beacon,wireless,pi,wlan0
_result,0,2021-04-11 02:39:16.218864+00:00,2021-04-11 03:39:16.218864+00:00,2021-04-11 02:53:10+00:00,0,beacon,wireless,pi,wlan0
